Player info,,,,,,Level 1 stats,,,,,,,,,Level 99 stats Note: Freedom is without Daisuke's notes,,,,,,,,,,,,,,,,,,,,,Moves,,,,,,,,
Full Name,Nickname,Position,Gender,Size,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,FP,Maxed out at,TP,Maxed out at,Kick,Maxed out at,Body,Maxed out at,Control,Maxed out at,Guard,Maxed out at,Speed,Maxed out at,Stamina,Maxed out at,Guts,Maxed out at,Freedom,Total,Max Totaal,Move 1,Learns at,Move  2,Learns at,Move 3,Learns at,Move 4,Learns at,Player HEX ID
Kevin Dragonfly,Kevin,FW,Male,Medium,Wood,61,88,27,25,20,22,19,24,18,122,Lv.59,124,Lv.89,79,Lv.69,60,Lv.59,49,Lv.89,53,Lv.89,51,Lv.99,64,Lv.59,70,Lv.69,20,426,446,Dragon Crash,Lv.1,Dragon Slayer,Event,Wyvern Crash,Lv.18,Wyvern Blizzard,Lv.32,0x0B
William Glass,Willy,FW,Male,Medium,Wood,31,21,7,8,7,11,7,5,7,98,Lv.99,144,Lv.99,56,Lv.99,51,Lv.99,68,Lv.99,57,Lv.99,56,Lv.99,53,Lv.99,60,Lv.99,22,401,423,Jinx,Lv.1,Spectacle Crash,Lv.30,Trickery!,Lv.50,Chaos Break,Lv.75,0x0C
Joseph King,King,GK,Male,Medium,Fire,60,96,15,11,13,16,13,14,14,129,Lv.59,129,Lv.59,55,Lv.59,53,Lv.69,69,Lv.59,75,Lv.59,55,Lv.59,64,Lv.99,60,Lv.69,13,431,444,Economy!,Lv.1,Critical!,Lv.1,Drill Smasher,Lv.10,Infinite Wall,Lv.1,0x15
Peter Drent,Drent,DF,Male,Large,Earth,64,89,14,17,14,18,12,14,10,130,Lv.69,108,Lv.99,54,Lv.69,64,Lv.59,59,Lv.99,71,Lv.69,44,Lv.59,63,Lv.69,62,Lv.59,18,417,435,Supreme Spin,Lv.1,Earthquake,Lv.20,Reflect Buster,Lv.42,Ground Quake,Lv.64,0x16
Ben Simmons,Simmons,DF,Male,Medium,Wood,68,76,11,12,14,16,12,14,10,124,Lv.59,120,Lv.69,58,Lv.69,63,Lv.69,62,Lv.59,60,Lv.69,59,Lv.59,55,Lv.59,69,Lv.99,7,426,433,Breakthrough,Lv.1,Cyclone,Lv.1,Dog Run,Lv.44,Double Cyclone,Lv.55,0x17
Alan Master,Master,MF,Male,Medium,Air,65,64,12,10,13,16,15,17,11,120,Lv.59,124,Lv.69,60,Lv.69,64,Lv.69,58,Lv.59,69,Lv.69,59,Lv.59,62,Lv.59,66,Lv.99,2,438,440,Killer Slide,Lv.1,Illusion Ball,Lv.1,Echo Ball,Lv.62,Offence Force,Lv.1,0x18
Gus Martin,Martin,DF,Male,Medium,Wood,62,66,13,10,12,14,12,13,12,118,Lv.99,128,Lv.59,62,Lv.59,52,Lv.59,70,Lv.99,62,Lv.59,63,Lv.59,60,Lv.59,52,Lv.59,10,421,431,Killer Slide,Lv.1,Clone Faker,Lv.1,Attack Scan,Lv.31,Sigma Zone,Lv.49,0x19
Herman Waldon,Waldon,MF,Male,Medium,Air,69,72,16,10,15,12,16,16,14,120,Lv.59,121,Lv.69,62,Lv.69,60,Lv.69,72,Lv.59,59,Lv.69,65,Lv.59,57,Lv.59,52,Lv.99,6,427,433,Killer Slide,Lv.1,Breakthrough 2,Lv.1,Freeze Shot,Lv.36,Gladius Arch,Lv.66,0x1A
John Bloom,Bloom,MF,Male,Medium,Fire,60,74,12,13,12,11,17,11,14,117,Lv.59,124,Lv.59,51,Lv.99,71,Lv.69,67,Lv.69,52,Lv.89,68,Lv.59,54,Lv.59,62,Lv.59,9,425,434,Trickery!,Lv.1,Breakthrough 2,Lv.1,Wrath Shot,Lv.1,Breakthrough 3,Lv.52,0x1B
Derek Swing,Swing,MF,Male,Small,Air,69,68,12,11,13,10,14,13,11,122,Lv.59,124,Lv.69,45,Lv.69,56,Lv.69,76,Lv.59,59,Lv.69,69,Lv.59,60,Lv.59,61,Lv.99,10,426,436,Trickery!,Lv.1,Bubble Gum,Lv.1,Clone Faker,Lv.32,Death Zone 2,Lv.75,0x1C
Daniel Hatch,Hatch,FW,Male,Medium,Wood,66,76,20,11,14,15,14,17,16,111,Lv.59,121,Lv.59,60,Lv.59,55,Lv.59,68,Lv.99,68,Lv.59,52,Lv.59,61,Lv.59,64,Lv.59,4,428,432,Trickery!,Lv.1,Double Cyclone,Lv.10,Killer Slide,Lv.1,Double Wrath Shot,Lv.45,0x1D
Jude Sharp,Jude,MF,Male,Medium,Air,70,75,28,29,25,27,23,25,23,123,Lv.69,126,Lv.69,63,Lv.69,59,Lv.69,79,Lv.69,52,Lv.69,68,Lv.69,56,Lv.69,68,Lv.99,17,445,462,Illusion Ball,Lv.1,Twin Boost,Lv.1,Emperor Penguin No. 3,Event,Field of Force,Lv.50,0x1E
David Samford,Samford,FW,Male,Medium,Wood,72,100,26,22,27,23,27,23,26,124,Lv.99,126,Lv.59,70,Lv.59,60,Lv.99,61,Lv.59,53,Lv.59,58,Lv.59,70,Lv.69,67,Lv.69,13,439,452,Offence Force,Lv.1,Gale Dash,Lv.1,Emperor Penguin No. 2,Lv.1,Space Penguin,Lv.70,0x1F
Bob Carlton,Carlton,GK,Male,Large,Wood,44,54,11,12,11,14,13,11,11,108,Lv.59,130,Lv.69,58,Lv.69,55,Lv.69,63,Lv.59,62,Lv.69,65,Lv.59,62,Lv.59,55,Lv.99,8,420,428,Power Shield,Lv.1,Full Power Shield,Lv.24,Earthquake,Lv.35,Giant Spider,Lv.44,0x20
Cliff Tomlinson,T’linson,FW,Male,Medium,Air,46,54,14,12,12,13,14,13,14,105,Lv.59,125,Lv.59,53,Lv.59,60,Lv.99,52,Lv.59,61,Lv.59,54,Lv.59,52,Lv.59,53,Lv.59,28,385,413,Grenade Shot,Lv.1,Killer Slide,Lv.28,Breakthrough,Lv.41,Twin Boost F,Lv.57,0x21
Jim Lawrenson,Lawrens.,FW,Male,Small,Air,55,55,12,12,14,11,11,14,12,112,Lv.59,118,Lv.59,54,Lv.59,57,Lv.59,70,Lv.59,63,Lv.99,53,Lv.59,56,Lv.59,55,Lv.59,14,408,422,Breakthrough,Lv.1,Spiral Shot,Lv.29,Double Wrath Shot,Lv.36,Baby Dragon,Lv.56,0x22
Barry Potts,Potts,MF,Male,Large,Air,58,49,12,12,14,11,13,11,12,126,Lv.59,121,Lv.59,53,Lv.59,52,Lv.59,54,Lv.99,56,Lv.59,52,Lv.59,60,Lv.59,44,Lv.59,54,371,425,Moonsault,Lv.1,Whirlwind Twister,Lv.19,Armadillo Circus,Lv.40,Kung Fu Header,Lv.45,0x23
Steve Ingham,Ingham,FW,Male,Medium,Earth,50,54,14,11,12,14,11,13,13,125,Lv.59,120,Lv.59,61,Lv.89,53,Lv.69,57,Lv.69,52,Lv.99,47,Lv.59,54,Lv.59,46,Lv.59,66,370,436,Never Give Up,Lv.1,Abaddon Drop,Lv.30,Hawk Shot,Lv.35,Comet Shot,Lv.39,0x24
Nathan Jones,Mask,GK,Male,Medium,Air,43,76,15,11,20,17,10,17,16,118,Lv.59,116,Lv.59,52,Lv.99,56,Lv.69,61,Lv.69,73,Lv.89,56,Lv.59,54,Lv.59,53,Lv.59,36,405,441,Economy!,Lv.1,Killer Blade,Lv.1,Warp Space,Lv.1,Galatyn,Lv.50,0x29
Russell Walk,Styx,DF,Male,Medium,Wood,42,56,14,10,14,12,17,13,12,107,Lv.59,113,Lv.59,56,Lv.99,47,Lv.59,68,Lv.59,52,Lv.59,64,Lv.59,59,Lv.59,46,Lv.59,27,392,419,Ghost Pull,Lv.1,Phantom Shot,Lv.15,Black Magic,Lv.30,Gladius Arch,Lv.55,0x2A
Jason Jones,Creepy,DF,Male,Small,Air,55,56,12,9,12,10,13,12,14,112,Lv.59,108,Lv.59,52,Lv.59,54,Lv.59,57,Lv.59,57,Lv.59,60,Lv.99,54,Lv.59,63,Lv.59,23,397,420,Doppelganger,Lv.1,Invisible Fake,Lv.10,Ghost Pull,Lv.21,Fake Bomber,Lv.49,0x2B
Ken Furan,Franky,DF,Male,Large,Earth,30,47,14,15,11,16,11,14,9,123,Lv.69,128,Lv.89,55,Lv.69,66,Lv.59,47,Lv.99,70,Lv.69,52,Lv.59,61,Lv.69,48,Lv.59,23,399,422,Fireball Head,Lv.10,Double Rocket,Lv.30,Blazing Knuckle,Lv.42,Counter Strike,Lv.56,0x2C
Jerry Fulton,Undead,DF,Male,Large,Fire,49,66,12,10,14,10,12,10,13,126,Lv.69,106,Lv.99,52,Lv.69,58,Lv.59,56,Lv.99,61,Lv.69,56,Lv.59,79,Lv.69,53,Lv.59,25,415,440,Comeback Kid,Lv.1,Phantom Shot,Lv.12,Warp Drive,Lv.44,Shadow Stitch,Lv.50,0x2D
Ray Mannings,Jiangshi,MF,Male,Small,Air,48,51,13,8,11,11,14,8,10,101,Lv.59,112,Lv.69,55,Lv.69,62,Lv.69,51,Lv.59,52,Lv.69,56,Lv.59,65,Lv.59,62,Lv.99,26,403,429,Ghost Pull,Lv.1,Black Magic,Lv.9,Ganymede Ray,Lv.28,Dark Whirlwind,Lv.39,0x2E
Robert Mayer,Mummy,MF,Male,Medium,Wood,54,55,13,11,12,12,12,12,12,97,Lv.59,137,Lv.69,54,Lv.69,48,Lv.69,60,Lv.59,52,Lv.69,73,Lv.59,54,Lv.59,61,Lv.99,22,402,424,Ghost Pull,Lv.1,Dark Whirlwind,Lv.23,Spider Web,Lv.35,Warp Space,Lv.44,0x2F
Alexander Brave,Grave,MF,Male,Medium,Fire,54,74,11,12,11,10,11,11,12,98,Lv.59,127,Lv.59,57,Lv.89,68,Lv.69,60,Lv.69,52,Lv.99,62,Lv.59,56,Lv.59,55,Lv.59,19,410,429,Black Magic,Lv.1,Shadow Stitch,Lv.36,Hurricane Arrows,Lv.40,Whirlwind Cut,Lv.51,0x30
Johan Tassman,Talisman,FW,Male,Medium,Wood,69,85,15,17,15,13,15,10,14,105,Lv.99,135,Lv.59,62,Lv.59,64,Lv.59,56,Lv.59,48,Lv.59,60,Lv.59,62,Lv.59,63,Lv.99,16,415,431,Teleport Shot,Lv.1,Phantom Shot,Lv.10,Astro Break,Lv.26,Death Zone,Lv.53,0x31
Troy Moon,Wolfy,MF,Male,Medium,Fire,58,55,18,11,13,16,14,10,16,109,Lv.59,115,Lv.59,61,Lv.99,70,Lv.69,45,Lv.69,52,Lv.89,74,Lv.59,53,Lv.59,60,Lv.59,30,415,445,Magic,Lv.1,Phantom Shot,Lv.1,Ultra Moon,Lv.40,Legendary Wolf,Lv.75,0x32
Burt Wolf,Blood,MF,Male,Medium,Earth,54,70,17,15,15,13,13,10,13,110,Lv.69,132,Lv.59,72,Lv.69,52,Lv.59,52,Lv.99,51,Lv.69,56,Lv.59,46,Lv.69,60,Lv.59,58,389,447,No Element,Lv.1,Phantom Shot,Lv.1,Poison Fog,Lv.17,Barbarian Shield,Lv.52,0x33
Rob Crombie,Zombie,GK,Male,Large,Earth,38,53,9,11,7,19,11,14,10,137,Lv.69,94,Lv.69,47,Lv.69,51,Lv.59,50,Lv.99,40,Lv.69,64,Lv.59,74,Lv.69,56,Lv.59,22,382,404,Sumo Stomp,Lv.1,Warp Space,Lv.1,Rocket Kobushi,Lv.28,Counter Strike,Lv.47,0x34
Chuck Dollman,Dollman,FW,Male,Medium,Wood,37,49,11,10,7,9,9,8,11,98,Lv.59,96,Lv.59,52,Lv.59,66,Lv.59,45,Lv.59,48,Lv.59,53,Lv.59,53,Lv.99,50,Lv.59,53,367,420,Phantom Shot,Lv.9,Spider Web,Lv.18,Doppelganger,Lv.32,Aikido,Lv.66,0x35
Uxley Allen,Alien,FW,Male,Medium,Air,36,52,11,9,8,9,9,11,8,100,Lv.59,112,Lv.59,48,Lv.59,54,Lv.59,67,Lv.59,50,Lv.59,48,Lv.59,58,Lv.99,44,Lv.59,28,369,397,Comet Shot,Lv.1,Astro Break,Lv.16,Kung Fu Header,Lv.38,Cosmic Blast,Lv.47,0x36
Phil Noir,Noir,FW,Male,Medium,Wood,31,41,9,10,9,9,8,11,10,95,Lv.59,120,Lv.69,56,Lv.69,45,Lv.69,48,Lv.59,58,Lv.69,52,Lv.59,69,Lv.59,45,Lv.99,17,373,390,Black Magic,Lv.1,Psycho Shot,Lv.21,Deceptor Dribble,Lv.30,Death Zone,Lv.83,0x37
Mick Askley,Ghost,MF,Male,Medium,Wood,40,48,8,8,10,8,11,11,9,116,Lv.89,100,Lv.99,64,Lv.89,50,Lv.89,54,Lv.99,44,Lv.99,48,Lv.59,56,Lv.89,54,Lv.89,35,370,405,Ghost Pull,Lv.10,Black Magic,Lv.15,Barbarian Shield,Lv.42,Rolling Hell,Lv.50,0x38
Charlie Boardfield,Boar,GK,Male,Large,Fire,69,48,18,10,12,16,9,13,10,124,Lv.69,128,Lv.89,48,Lv.69,64,Lv.59,50,Lv.99,69,Lv.69,60,Lv.59,54,Lv.69,62,Lv.59,36,407,443,Recovery,Lv.1,Wild Claw,Lv.1,Table-Turner,Lv.37,Burnout,Lv.56,0x3D
Hugo Tallgeese,Chicken,MF,Male,Small,Fire,66,44,7,10,10,16,13,14,9,104,Lv.69,101,Lv.59,52,Lv.69,44,Lv.59,56,Lv.99,46,Lv.69,64,Lv.59,67,Lv.69,54,Lv.59,45,383,428,Dash Accelerator,Lv.1,Fire Rooster,Lv.1,Whirlwind Cut,Lv.34,Boost Glider,Lv.70,0x3E
Wilson Fishman,Fishman,DF,Male,Small,Wood,69,51,11,18,9,8,14,11,9,113,Lv.59,113,Lv.59,52,Lv.99,64,Lv.69,51,Lv.69,51,Lv.89,46,Lv.59,69,Lv.59,51,Lv.59,24,384,408,Quick Draw,Lv.1,Spinning Cut,Lv.25,Tsunami Boost,Lv.44,Water Veil,Lv.58,0x3F
Peter Johnson,Toad,DF,Male,Medium,Wood,61,33,9,9,7,16,15,13,11,97,Lv.59,94,Lv.59,61,Lv.89,52,Lv.69,48,Lv.69,48,Lv.99,54,Lv.59,57,Lv.59,50,Lv.59,24,370,394,Bubble Gum,Lv.1,Warp Drive,Lv.18,Fake Ball,Lv.38,Spider Web,Lv.49,0x40
Leonard O’Shea,Lion,DF,Male,Large,Earth,66,40,19,11,9,19,7,12,9,138,Lv.69,109,Lv.89,78,Lv.69,52,Lv.59,42,Lv.99,64,Lv.69,51,Lv.59,54,Lv.69,58,Lv.59,39,399,438,Super Armadillo,Lv.1,Horn Train,Lv.1,Mole Shuffle,Lv.40,Beast Fang,Lv.75,0x41
Cham Lion,C’meleon,MF,Male,Medium,Air,61,45,10,10,14,9,17,13,7,112,Lv.59,101,Lv.69,46,Lv.69,47,Lv.69,49,Lv.59,60,Lv.69,57,Lv.59,60,Lv.59,48,Lv.99,33,367,400,Cool Up!,Lv.1,Quick Draw,Lv.1,Invisible Fake,Lv.48,Mirage Shot,Lv.54,0x42
Steve Eagle,Eagle,MF,Male,Medium,Air,76,51,13,15,17,11,18,13,10,117,Lv.59,120,Lv.59,56,Lv.89,68,Lv.69,67,Lv.69,49,Lv.99,68,Lv.59,53,Lv.59,68,Lv.59,25,429,454,Condor Dive,Lv.1,Hawk Shot,Lv.20,Whirlwind Cut,Lv.32,Eagle Buster,Lv.71,0x43
Bruce Monkey,Monkey,MF,Male,Medium,Air,56,43,7,12,7,9,10,14,8,108,Lv.59,96,Lv.69,54,Lv.69,64,Lv.69,56,Lv.59,48,Lv.69,53,Lv.59,52,Lv.59,54,Lv.99,25,381,406,Monkey Turn,Lv.1,Tarzan Kick,Lv.1,Kangaroo Kick,Lv.35,Moonsault,Lv.55,0x44
Gary Lancaster,Gorilla,FW,Male,Large,Earth,69,48,16,16,9,17,5,17,10,121,Lv.69,94,Lv.89,78,Lv.69,66,Lv.59,41,Lv.99,64,Lv.69,48,Lv.59,52,Lv.69,67,Lv.59,13,416,429,Recovery,Lv.1,Tarzan Kick,Lv.1,Super Armadillo,Lv.1,Power Charge,Lv.48,0x45
Harry Snake,Snake,FW,Male,Medium,Wood,56,49,9,15,16,9,13,12,10,106,Lv.59,123,Lv.69,55,Lv.69,63,Lv.69,62,Lv.59,49,Lv.69,55,Lv.59,65,Lv.59,45,Lv.99,24,394,418,Snake Shot,Lv.1,Zigzag Spark,Lv.21,Cross Drive,Lv.36,Lightning Sprint,Lv.65,0x46
Adrian Speed,Cheetah,FW,Male,Medium,Air,80,51,14,10,17,7,20,14,11,99,Lv.59,112,Lv.59,59,Lv.89,47,Lv.69,69,Lv.69,46,Lv.99,84,Lv.59,42,Lv.59,47,Lv.59,58,394,452,Tarzan Kick,Lv.1,Southern Cross,Lv.1,Dynamite Shot,Lv.24,Clone Shot,Lv.60,0x47
Alan Coe,Koala,MF,Male,Small,Wood,40,33,11,11,11,10,9,11,10,97,Lv.59,117,Lv.59,54,Lv.99,49,Lv.69,57,Lv.69,51,Lv.89,48,Lv.59,51,Lv.59,49,Lv.59,36,359,395,Tarzan Kick,Lv.1,Monkey Turn,Lv.30,Run Ball Run,Lv.48,Illusion Ball,Lv.51,0x48
Philip Anders,Panda,FW,Male,Medium,Fire,37,66,10,10,8,9,10,7,8,115,Lv.59,124,Lv.69,56,Lv.69,53,Lv.69,48,Lv.59,58,Lv.69,52,Lv.59,55,Lv.59,46,Lv.99,42,368,410,Killer Slide,Lv.1,Breakthrough,Lv.24,Kung Fu Header,Lv.35,Armadillo Circus,Lv.66,0x49
Rocky Rackham,Raccoon,DF,Male,Large,Wood,36,43,8,7,9,10,13,9,9,120,Lv.59,106,Lv.59,53,Lv.59,53,Lv.59,53,Lv.59,44,Lv.59,51,Lv.99,68,Lv.59,47,Lv.59,41,369,410,Super Armadillo,Lv.1,Grenade Shot,Lv.18,Armadillo Circus,Lv.37,About Face,Lv.40,0x4A
Matt Mouseman,Mouseman,MF,Male,Medium,Earth,42,41,4,5,11,4,23,11,9,113,Lv.89,94,Lv.99,42,Lv.89,50,Lv.89,52,Lv.99,44,Lv.89,79,Lv.59,54,Lv.89,45,Lv.89,50,366,416,Fake Ball,Lv.15,Bewildered,Lv.25,Rainbow Arc,Lv.42,Afterimage,Lv.55,0x4B
Chad Bullford,Bullford,GK,Male,Large,Fire,32,40,9,19,9,20,10,8,11,126,Lv.69,129,Lv.69,41,Lv.69,68,Lv.59,48,Lv.99,77,Lv.69,31,Lv.59,51,Lv.69,64,Lv.59,31,380,411,Blazing Knuckle,Lv.1,Toughness Block,Lv.1,Wild Claw,Lv.36,Gigant Wall,Lv.53,0x4C
Thomas Feldt,Feldt,GK,Male,Medium,Wood,48,66,11,14,13,13,13,11,13,137,Lv.59,131,Lv.59,56,Lv.99,69,Lv.59,58,Lv.59,76,Lv.59,68,Lv.59,50,Lv.59,52,Lv.59,32,429,461,Never Give Up,Lv.1,Shot Pocket,Lv.1,Double Rocket,Lv.30,Drill Smasher,Lv.52,0x51
Harry Leading,Leading,DF,Male,Small,Air,75,76,16,16,15,16,13,20,17,109,Lv.59,112,Lv.59,52,Lv.99,59,Lv.69,48,Lv.69,47,Lv.89,61,Lv.59,57,Lv.59,48,Lv.59,39,372,411,Defence Scan,Lv.1,Patriot Shot,Lv.29,Attack Scan,Lv.31,Invisible Fake,Lv.48,0x52
Terry Stronger,Stronger,DF,Male,Medium,Fire,74,80,16,15,14,17,15,23,16,112,Lv.99,121,Lv.59,48,Lv.59,46,Lv.99,50,Lv.59,57,Lv.59,47,Lv.59,55,Lv.59,68,Lv.59,31,371,402,Defence Scan,Lv.1,Attack Scan,Lv.24,Psycho Shot,Lv.29,Assault Shot,Lv.38,0x53
Philip Marvel,Marvel,DF,Male,Large,Earth,75,76,13,13,15,17,16,20,13,127,Lv.69,95,Lv.99,50,Lv.69,62,Lv.59,52,Lv.99,48,Lv.69,52,Lv.59,57,Lv.69,51,Lv.59,41,372,413,Defence Scan,Lv.1,Dynamite Shot,Lv.20,Attack Scan,Lv.26,Mad Express,Lv.58,0x54
Noel Good,Good,DF,Male,Large,Wood,76,60,15,15,15,15,16,21,15,113,Lv.69,110,Lv.89,47,Lv.69,47,Lv.59,48,Lv.99,60,Lv.69,48,Lv.59,71,Lv.69,50,Lv.59,34,371,405,Defence Scan,Lv.1,Attack Scan,Lv.24,Perimeter Zone,Lv.29,Earthquake,Lv.34,0x55
Tyron Rock,Rock,MF,Male,Medium,Fire,74,76,14,17,14,17,15,20,14,106,Lv.59,104,Lv.69,56,Lv.69,46,Lv.69,63,Lv.59,48,Lv.69,48,Lv.59,52,Lv.59,52,Lv.99,44,365,409,Breakthrough 2,Lv.1,Patriot Shot,Lv.1,Attack Scan,Lv.27,Slingshot,Lv.55,0x56
Francis Tell,Tell,MF,Male,Medium,Wood,69,76,14,19,13,15,17,19,14,101,Lv.59,118,Lv.59,47,Lv.99,53,Lv.69,53,Lv.69,60,Lv.89,62,Lv.59,48,Lv.59,47,Lv.59,30,370,400,Defence Scan,Lv.1,Psycho Shot,Lv.1,Attack Scan,Lv.25,Gunshot,Lv.55,0x57
Samuel Buster,Busta,MF,Male,Medium,Fire,69,68,23,22,15,15,15,21,14,115,Lv.69,98,Lv.89,55,Lv.69,67,Lv.59,52,Lv.99,49,Lv.69,48,Lv.59,50,Lv.69,49,Lv.59,46,370,416,Recovery,Lv.1,Breakthrough 2,Lv.1,Attack Scan,Lv.25,Ganymede Ray,Lv.45,0x58
Jonathan Seller,Seller,FW,Male,Medium,Air,80,64,15,19,15,15,15,20,17,120,Lv.59,113,Lv.69,55,Lv.69,54,Lv.69,50,Lv.59,49,Lv.69,55,Lv.59,58,Lv.59,46,Lv.99,48,367,415,Psycho Shot,Lv.1,Attack Scan,Lv.1,Defence Scan,Lv.27,Double Jaw,Lv.65,0x59
Victor Kind,Kind,MF,Male,Medium,Wood,78,70,14,18,17,14,17,21,16,107,Lv.99,109,Lv.59,49,Lv.59,53,Lv.59,64,Lv.59,51,Lv.59,50,Lv.99,53,Lv.59,49,Lv.59,34,369,403,Defence Scan,Lv.1,Psycho Shot,Lv.1,Attack Scan,Lv.26,Twin Boost F,Lv.48,0x5A
Neil Turner,Turner,FW,Male,Medium,Fire,74,74,14,20,17,16,20,20,16,121,Lv.59,125,Lv.69,57,Lv.69,58,Lv.69,70,Lv.59,52,Lv.69,62,Lv.59,60,Lv.59,55,Lv.99,21,414,435,Cool Up!,Lv.1,Gungnir,Lv.1,Fire Tornado,Lv.10,Fireball Storm,Lv.55,0x5B
Reg Underwood,Under,GK,Male,Medium,Wood,81,72,17,17,16,17,21,22,17,122,Lv.59,105,Lv.59,44,Lv.99,40,Lv.69,40,Lv.69,69,Lv.69,48,Lv.59,61,Lv.59,70,Lv.59,37,372,409,Shot Pocket,Lv.1,Attack Scan,Lv.26,Defence Scan,Lv.38,Triple Defence,Lv.49,0x5C
Patrick Stiller,Stiller,MF,Male,Medium,Air,66,76,16,14,16,16,13,19,16,103,Lv.59,137,Lv.59,56,Lv.99,48,Lv.59,47,Lv.59,55,Lv.59,50,Lv.59,46,Lv.59,60,Lv.59,35,362,397,Attack Scan,Lv.1,Meteor Attack,Lv.27,Utter Gutsiness Catch,Lv.35,Spectacle Crash,Lv.42,0x5D
Charles Oughtry,Oughtry,MF,Male,Medium,Earth,73,74,14,16,13,17,13,22,15,110,Lv.59,113,Lv.59,55,Lv.59,52,Lv.99,45,Lv.59,58,Lv.59,46,Lv.59,44,Lv.59,67,Lv.59,39,367,406,Psycho Shot,Lv.1,Meteor Shower,Lv.20,Defence Scan,Lv.30,Patriot Shot,Lv.60,0x5E
